rate_mbit,burst_bytes,configured_rate_bps,measured_median_rate_bps,relative_error_pct,iqr_over_median,reps,within_10pct
5,1600,5000000,5006805.244044,0.136,0.013506,5,yes
5,3200,5000000,5001273.472412,0.025,0.011904,5,yes
5,8000,5000000,5012440.295661,0.249,814.776238,5,yes
5,32000,5000000,43964601769.911499,879192.035,1.009660,5,no
5,128000,5000000,38511627906.976746,770132.558,0.788034,5,no
20,1600,20000000,20029310.202329,0.147,0.025744,5,yes
20,3200,20000000,20106196.982452,0.531,0.029181,5,yes
20,8000,20000000,20260515.648067,1.303,299.917999,5,yes
20,32000,20000000,49680000000.000000,248300.000,0.576441,5,no
20,128000,20000000,35485714285.714287,177328.571,1.212016,5,no
50,1600,50000000,50218594.425210,0.437,0.057677,5,yes
50,3200,50000000,50595010.769771,1.190,0.071166,5,yes
50,8000,50000000,51100333.777341,2.201,126.046147,5,yes
50,32000,50000000,36130909090.909088,72161.818,1.083383,5,no
50,128000,50000000,33681355932.203392,67262.712,0.944565,5,no
100,1600,100000000,98964143.426295,-1.036,0.101065,5,yes
100,3200,100000000,101411555.773294,1.412,0.180910,5,yes
100,8000,100000000,105200745.383703,5.201,43.956548,5,yes
100,32000,100000000,45163636363.636360,45063.636,0.735630,5,no
100,128000,100000000,43200000000.000000,43100.000,0.908696,5,no
