rate_mbit,burst_bytes,rep,measured_median_rate_bps,iqr_over_median,packets_received,packets_sent
5,1600,1,5006805.244044,0.006408171457305024,20,20
5,1600,2,5004233.150123,0.010547335636068016,20,20
5,1600,3,5005286.884647,0.014412003155605858,20,20
5,1600,4,5014385.573750,0.016604430783702672,20,20
5,1600,5,5013753.003029,0.013505868350205626,20,20
5,3200,1,5001273.472412,0.017308838370720857,20,20
5,3200,2,5017444.405898,0.021483901374099668,20,20
5,3200,3,5007481.487790,0.011904014805821641,20,20
5,3200,4,5001036.849427,0.007208038090194377,20,20
5,3200,5,4994465.673604,0.0094646008458174,20,20
5,8000,1,5018498.642591,814.7762380130414,20,20
5,8000,2,5010130.184723,545.1832681311586,20,20
5,8000,3,5025468.747866,1345.8284266458622,20,20
5,8000,4,5009051.683069,399.5715923599158,20,20
5,8000,5,5012440.295661,1700.5243827768481,20,20
5,32000,1,37636363636.363640,1.2724256510394165,20,20
5,32000,2,33911262798.634815,1.0803365133035463,20,20
5,32000,3,50693877551.020409,0.6894511732022224,20,20
5,32000,4,48468292682.926826,0.5524985962942168,20,20
5,32000,5,43964601769.911499,1.0096602092613696,20,20
5,128000,1,46213953488.372093,0.6885226741467976,20,20
5,128000,2,38511627906.976746,0.17037276623271602,20,20
5,128000,3,45369863013.698631,0.9636275125628141,20,20
5,128000,4,35741007194.244606,0.7880336101989569,20,20
5,128000,5,32259740259.740261,1.0716387523659556,20,20
20,1600,1,19978083.624044,0.020228709734205822,20,20
20,1600,2,20029310.202329,0.017603212500127283,20,20
20,1600,3,20055588.860428,0.02799131605949503,20,20
20,1600,4,20088026.638470,0.02574441991020273,20,20
20,1600,5,20003623.844899,0.03506595031693242,20,20
20,3200,1,20104162.872856,0.029180831624871336,20,20
20,3200,2,20187367.048024,0.020371850019514776,20,20
20,3200,3,20106196.982452,0.03283362330357993,20,20
20,3200,4,20051986.632009,0.02005438731426395,20,20
20,3200,5,20182241.415032,0.03527617743919936,20,20
20,8000,1,20260515.648067,297.6887061916761,20,20
20,8000,2,20213651.131423,437.5109905419099,20,20
20,8000,3,20485373.039550,299.91799898198894,20,20
20,8000,4,20282642.377576,212.7581683576882,20,20
20,8000,5,20206703.842446,352.26589262135604,20,20
20,32000,1,36800000000.000000,0.3670357938325438,20,20
20,32000,2,41400000000.000000,0.45811240721102864,20,20
20,32000,3,49680000000.000000,0.645299603387287,20,20
20,32000,4,49680000000.000000,0.5764411027568922,20,20
20,32000,5,52020942408.376961,0.8044219381260723,20,20
20,128000,1,47090047393.364929,0.4847297297297297,20,20
20,128000,2,35485714285.714287,0.5949953660797034,20,20
20,128000,3,6528252299.605782,7.5938824614232,20,20
20,128000,4,5226722777.485534,6.595758554997686,20,20
20,128000,5,38661478599.221794,1.2120157104039233,20,20
50,1600,1,50009814.728132,0.03528247472303638,20,20
50,1600,2,50296636.766760,0.03468987439844354,20,20
50,1600,3,49938431.382404,0.05767731680046902,20,20
50,1600,4,50684568.140546,0.07337613753672055,20,20
50,1600,5,50218594.425210,0.07117238477451517,20,20
50,3200,1,50485752.611682,0.08016630821162425,20,20
50,3200,2,50673711.482165,0.11783722511158783,20,20
50,3200,3,50294600.012148,0.07093371037899049,20,20
50,3200,4,50595010.769771,0.06452853952046882,20,20
50,3200,5,50884173.977170,0.07116602285008247,20,20
50,8000,1,51100333.777341,104.47215186279357,20,20
50,8000,2,51788031.835879,186.97709275741292,20,20
50,8000,3,52929895.589175,183.1070245006755,20,20
50,8000,4,50392806.244326,73.7334672172679,20,20
50,8000,5,50463188.688445,126.0461465266663,20,20
50,32000,1,50693877551.020409,0.476699770817418,20,20
50,32000,2,50693877551.020409,0.8239861841193007,20,20
50,32000,3,28883720930.232559,1.0833825422060717,20,20
50,32000,4,36130909090.909088,1.3304443773812669,20,20
50,32000,5,2722937791.175664,9.704787234042554,20,20
50,128000,1,40555102040.816330,0.9445651435942698,20,20
50,128000,2,32684210526.315788,1.1285563560727099,20,20
50,128000,3,33681355932.203392,0.45031537185984166,20,20
50,128000,4,33795918367.346939,0.8857315542331118,20,20
50,128000,5,32684210526.315788,1.074782345370581,20,20
100,1600,1,98964143.426295,0.18754368019799694,20,20
100,1600,2,99436566.155940,0.11205121673451471,20,20
100,1600,3,98924731.182796,0.08843912113233346,20,20
100,1600,4,99595044.304559,0.09189713030730566,20,20
100,1600,5,98739913.344198,0.10106457555911612,20,20
100,3200,1,101411555.773294,0.12209492109787161,20,20
100,3200,2,100172398.148988,0.18091037689543932,20,20
100,3200,3,102924267.379347,0.19750585273689464,20,20
100,3200,4,101120508.045065,0.509884980883118,20,20
100,3200,5,103434276.137038,0.0915552883480564,20,20
100,8000,1,104598281.960586,24.537927350335732,20,20
100,8000,2,110496991.803917,43.95654794464026,20,20
100,8000,3,104680931.761434,40.81001528993076,20,20
100,8000,4,105324528.021879,60.722008378621865,20,20
100,8000,5,105200745.383703,47.24414110337634,20,20
100,32000,1,45163636363.636360,0.735629861602182,20,20
100,32000,2,36800000000.000000,0.3651708953659048,20,20
100,32000,3,47314285714.285713,0.766553480475382,20,20
100,32000,4,38215384615.384613,0.43675174013921114,20,20
100,32000,5,45163636363.636360,0.9121263877028182,20,20
100,128000,1,45163636363.636360,0.9086956521739131,20,20
100,128000,2,41400000000.000000,1.0236590742101397,20,20
100,128000,3,43200000000.000000,0.9552497883149873,20,20
100,128000,4,47314285714.285713,0.6385964912280702,20,20
100,128000,5,22080000000.000000,0.5145797598627787,20,20
