rate_mbit,burst_bytes,configured_mbit,ceiling_mbit,reps,median_mbps,min_mbps,max_mbps,relative_error_vs_ceiling_pct,within_10pct_of_ceiling
5,1600,5,4.800000,5,4.782690,4.781553,4.782769,-0.361,yes
5,3200,5,4.800000,5,4.785173,4.785046,4.785376,-0.309,yes
5,8000,5,4.800000,5,4.789936,4.789064,4.790151,-0.210,yes
5,32000,5,4.800000,5,4.811034,4.810848,4.812238,0.230,yes
5,128000,5,4.800000,5,4.872862,4.872479,4.907411,1.518,yes
20,1600,20,19.200000,5,19.056084,19.017024,19.090363,-0.750,yes
20,3200,20,19.200000,5,19.125878,19.119526,19.128995,-0.386,yes
20,8000,20,19.200000,5,19.136034,19.134732,19.136245,-0.333,yes
20,32000,20,19.200000,5,19.162293,19.161996,19.162744,-0.196,yes
20,128000,20,19.200000,5,19.264422,19.264210,19.266052,0.336,yes
50,1600,50,48.000000,5,45.114239,43.303022,45.465821,-6.012,yes
50,3200,50,48.000000,5,47.812341,47.804659,47.815456,-0.391,yes
50,8000,50,48.000000,5,47.821090,47.815101,47.825613,-0.373,yes
50,32000,50,48.000000,5,47.856800,47.856678,47.857439,-0.298,yes
50,128000,50,48.000000,5,47.970693,47.970196,47.971431,-0.061,yes
100,1600,100,96.000000,5,82.059797,82.013368,83.665624,-14.521,no
100,3200,100,96.000000,5,95.210725,95.135290,95.331180,-0.822,yes
100,8000,100,96.000000,5,95.633843,95.629346,95.637563,-0.381,yes
100,32000,100,96.000000,5,95.657466,95.647939,95.672328,-0.357,yes
100,128000,100,96.000000,5,95.795266,95.794005,95.795636,-0.213,yes
