rate_mbit,burst_bytes,rep,achieved_mbps
5,1600,1,4.782690
5,1600,2,4.782694
5,1600,3,4.782683
5,1600,4,4.781553
5,1600,5,4.782769
5,3200,1,4.785046
5,3200,2,4.785210
5,3200,3,4.785173
5,3200,4,4.785376
5,3200,5,4.785142
5,8000,1,4.789986
5,8000,2,4.789815
5,8000,3,4.789936
5,8000,4,4.789064
5,8000,5,4.790151
5,32000,1,4.811056
5,32000,2,4.811034
5,32000,3,4.810983
5,32000,4,4.812238
5,32000,5,4.810848
5,128000,1,4.872479
5,128000,2,4.872831
5,128000,3,4.907340
5,128000,4,4.872862
5,128000,5,4.907411
20,1600,1,19.042469
20,1600,2,19.017024
20,1600,3,19.090363
20,1600,4,19.056520
20,1600,5,19.056084
20,3200,1,19.128995
20,3200,2,19.125878
20,3200,3,19.125020
20,3200,4,19.127967
20,3200,5,19.119526
20,8000,1,19.136152
20,8000,2,19.136245
20,8000,3,19.136034
20,8000,4,19.136017
20,8000,5,19.134732
20,32000,1,19.162744
20,32000,2,19.162463
20,32000,3,19.161996
20,32000,4,19.162293
20,32000,5,19.162031
20,128000,1,19.264210
20,128000,2,19.264422
20,128000,3,19.264403
20,128000,4,19.266052
20,128000,5,19.264717
50,1600,1,45.200367
50,1600,2,45.465821
50,1600,3,45.114239
50,1600,4,43.303022
50,1600,5,44.973864
50,3200,1,47.808700
50,3200,2,47.812341
50,3200,3,47.804659
50,3200,4,47.814109
50,3200,5,47.815456
50,8000,1,47.815101
50,8000,2,47.823204
50,8000,3,47.817583
50,8000,4,47.821090
50,8000,5,47.825613
50,32000,1,47.857006
50,32000,2,47.856800
50,32000,3,47.856678
50,32000,4,47.856745
50,32000,5,47.857439
50,128000,1,47.970196
50,128000,2,47.970693
50,128000,3,47.970819
50,128000,4,47.971431
50,128000,5,47.970506
100,1600,1,82.041293
100,1600,2,82.059797
100,1600,3,83.665624
100,1600,4,83.024951
100,1600,5,82.013368
100,3200,1,95.135290
100,3200,2,95.158881
100,3200,3,95.331180
100,3200,4,95.284533
100,3200,5,95.210725
100,8000,1,95.633843
100,8000,2,95.629346
100,8000,3,95.633771
100,8000,4,95.637563
100,8000,5,95.635777
100,32000,1,95.647939
100,32000,2,95.650624
100,32000,3,95.672328
100,32000,4,95.659244
100,32000,5,95.657466
100,128000,1,95.795602
100,128000,2,95.795636
100,128000,3,95.795111
100,128000,4,95.795266
100,128000,5,95.794005
