k,burst_bytes,rate_mbit,discard_leading,configured_rate_bps,measured_median_rate_bps,relative_error_pct,iqr_over_median_median,reps,within_10pct
5,1600,20,0,20000000,20268032.257424,1.340,0.255868,7,yes
5,1600,20,1,20000000,20073862.763954,0.369,0.046384,7,yes
5,1600,20,2,20000000,20057757.783613,0.289,0.045347,7,yes
8,1600,20,0,20000000,20107621.104098,0.538,0.024373,7,yes
8,1600,20,1,20000000,20070016.493666,0.350,0.018688,7,yes
8,1600,20,2,20000000,20039530.474769,0.198,0.024258,7,yes
12,1600,20,0,20000000,20089976.242228,0.450,0.050746,7,yes
12,1600,20,1,20000000,20065685.975604,0.328,0.036966,7,yes
12,1600,20,2,20000000,20069240.495591,0.346,0.040867,7,yes
20,1600,20,0,20000000,20024789.141147,0.124,0.022605,7,yes
20,1600,20,1,20000000,20019323.936227,0.097,0.022507,7,yes
20,1600,20,2,20000000,20024789.141147,0.124,0.019760,7,yes
5,1600,50,0,50000000,51611911.884487,3.224,0.277623,7,yes
5,1600,50,1,50000000,50246529.621482,0.493,0.116382,7,yes
5,1600,50,2,50000000,50552988.258384,1.106,0.103848,7,yes
8,1600,50,0,50000000,50653561.451090,1.307,0.081775,7,yes
8,1600,50,1,50000000,50297650.461599,0.595,0.059132,7,yes
8,1600,50,2,50000000,50251357.939775,0.503,0.065978,7,yes
12,1600,50,0,50000000,50344292.945415,0.689,0.045206,7,yes
12,1600,50,1,50000000,50300621.364465,0.601,0.036516,7,yes
12,1600,50,2,50000000,50209458.742439,0.419,0.032968,7,yes
20,1600,50,0,50000000,50133457.119647,0.267,0.052958,7,yes
20,1600,50,1,50000000,50077804.318010,0.156,0.051281,7,yes
20,1600,50,2,50000000,50133457.119647,0.267,0.047332,7,yes
5,1600,100,0,100000000,96455256.391461,-3.545,0.161527,7,yes
5,1600,100,1,100000000,100138072.825857,0.138,0.159524,7,yes
5,1600,100,2,100000000,102025952.773651,2.026,0.154000,7,yes
8,1600,100,0,100000000,100141100.584560,0.141,0.205989,7,yes
8,1600,100,1,100000000,101219204.586845,1.219,0.176525,7,yes
8,1600,100,2,100000000,100141100.584560,0.141,0.160539,7,yes
12,1600,100,0,100000000,99668973.818838,-0.331,0.145180,7,yes
12,1600,100,1,100000000,100647343.280252,0.647,0.117874,7,yes
12,1600,100,2,100000000,99668973.818838,-0.331,0.113943,7,yes
20,1600,100,0,100000000,98578274.284921,-1.422,0.096235,7,yes
20,1600,100,1,100000000,98786985.062116,-1.213,0.078380,7,yes
20,1600,100,2,100000000,99100357.064491,-0.900,0.073473,7,yes
5,3200,20,0,20000000,31350005.596417,56.750,173.681415,7,no
5,3200,20,1,20000000,20510576.281963,2.553,1.119251,7,yes
5,3200,20,2,20000000,20120987.801820,0.605,0.045501,7,yes
8,3200,20,0,20000000,20351814.375722,1.759,1.080339,7,yes
8,3200,20,1,20000000,20110475.075933,0.552,0.296902,7,yes
8,3200,20,2,20000000,20060812.365989,0.304,0.027391,7,yes
12,3200,20,0,20000000,20209005.373610,1.045,0.043733,7,yes
12,3200,20,1,20000000,20167631.377120,0.838,0.039457,7,yes
12,3200,20,2,20000000,20082220.686143,0.411,0.034505,7,yes
20,3200,20,0,20000000,20093551.498826,0.468,0.037194,7,yes
20,3200,20,1,20000000,20073679.660269,0.368,0.034154,7,yes
20,3200,20,2,20000000,20056236.589309,0.281,0.032398,7,yes
5,3200,50,0,50000000,78237384.925225,56.475,62.650795,7,no
5,3200,50,1,50000000,52065920.821652,4.132,1.118272,7,yes
5,3200,50,2,50000000,48592014.456289,-2.816,0.376440,7,yes
8,3200,50,0,50000000,50742289.837753,1.485,0.856030,7,yes
8,3200,50,1,50000000,49946727.314221,-0.107,0.390738,7,yes
8,3200,50,2,50000000,50314465.408805,0.629,0.393664,7,yes
12,3200,50,0,50000000,51381498.316759,2.763,0.094381,7,yes
12,3200,50,1,50000000,50996182.502406,1.992,0.084691,7,yes
12,3200,50,2,50000000,50543022.102398,1.086,0.080584,7,yes
20,3200,50,0,50000000,50322874.724607,0.646,0.058938,7,yes
20,3200,50,1,50000000,50007802.600810,0.016,0.056624,7,yes
20,3200,50,2,50000000,49999245.180477,-0.002,0.050008,7,yes
5,3200,100,0,100000000,154221045.449167,54.221,25.394766,7,no
5,3200,100,1,100000000,106456382.454411,6.456,1.035363,7,yes
5,3200,100,2,100000000,105829120.849110,5.829,0.266139,7,yes
8,3200,100,0,100000000,109860463.059198,9.860,1.429723,7,yes
8,3200,100,1,100000000,102627112.918385,2.627,0.555252,7,yes
8,3200,100,2,100000000,99119140.488613,-0.881,0.216702,7,yes
12,3200,100,0,100000000,103788662.216790,3.789,0.219187,7,yes
12,3200,100,1,100000000,102443042.006395,2.443,0.206316,7,yes
12,3200,100,2,100000000,100017112.428656,0.017,0.174420,7,yes
20,3200,100,0,100000000,100679913.668190,0.680,0.102388,7,yes
20,3200,100,1,100000000,100355058.011987,0.355,0.100212,7,yes
20,3200,100,2,100000000,100104779.559926,0.105,0.099610,7,yes
