k,burst_bytes,rate_mbit,rep,discard_leading,measured_median_rate_bps,iqr_over_median,n_gaps_kept,packets_received,packets_sent
5,1600,20,1,0,20338471.801227,0.334512,4,5,5
5,1600,20,1,1,20252545.326688,0.075457,3,5,5
5,1600,20,1,2,20338471.801227,0.012674,2,5,5
5,1600,20,2,0,19942111.141072,0.260418,4,5,5
5,1600,20,2,1,19640672.163261,0.037167,3,5,5
5,1600,20,2,2,19942111.141072,0.045347,2,5,5
5,1600,20,3,0,20466396.138025,0.239808,4,5,5
5,1600,20,3,1,20440617.086101,0.046384,3,5,5
5,1600,20,3,2,19992333.956611,0.067268,2,5,5
5,1600,20,4,0,20402105.038695,0.255868,4,5,5
5,1600,20,4,1,20086686.505369,0.051097,3,5,5
5,1600,20,4,2,20402105.038695,0.046380,2,5,5
5,1600,20,5,0,20268032.257424,0.258654,4,5,5
5,1600,20,5,1,19909589.304607,0.057130,3,5,5
5,1600,20,5,2,20057757.783613,0.085062,2,5,5
5,1600,20,6,0,20109515.624303,0.239557,4,5,5
5,1600,20,6,1,20073862.763954,0.008548,3,5,5
5,1600,20,6,2,20059377.070651,0.012831,2,5,5
5,1600,20,7,0,20068749.755594,0.251751,4,5,5
5,1600,20,7,1,19763065.980316,0.034806,3,5,5
5,1600,20,7,2,19724809.327065,0.005819,2,5,5
8,1600,20,1,0,19956295.391735,0.024373,7,8,8
8,1600,20,1,1,19901445.874199,0.017550,6,8,8
8,1600,20,1,2,19846596.356663,0.024258,5,8,8
8,1600,20,2,0,20100502.512563,0.015140,7,8,8
8,1600,20,2,1,20070016.493666,0.016995,6,8,8
8,1600,20,2,2,20039530.474769,0.016544,5,8,8
8,1600,20,3,0,20114785.460508,0.019882,7,8,8
8,1600,20,3,1,20097934.854856,0.018688,6,8,8
8,1600,20,3,2,20081084.249203,0.020134,5,8,8
8,1600,20,4,0,20340856.748042,0.039499,7,8,8
8,1600,20,4,1,20304819.209007,0.039682,6,8,8
8,1600,20,4,2,20268781.669971,0.059419,5,8,8
8,1600,20,5,0,20026686.123619,0.017485,7,8,8
8,1600,20,5,1,19982180.412041,0.016348,6,8,8
8,1600,20,5,2,20026686.123619,0.019459,5,8,8
8,1600,20,6,0,20234562.898006,0.066708,7,8,8
8,1600,20,6,1,20076466.431643,0.049361,6,8,8
8,1600,20,6,2,19918369.965279,0.054693,5,8,8
8,1600,20,7,0,20107621.104098,0.097735,7,8,8
8,1600,20,7,1,20041587.186120,0.074126,6,8,8
8,1600,20,7,2,20107621.104098,0.094778,5,8,8
12,1600,20,1,0,20069240.495591,0.050746,11,12,12
12,1600,20,1,1,20053536.801191,0.036966,10,12,12
12,1600,20,1,2,20069240.495591,0.048732,9,12,12
12,1600,20,2,0,20089976.242228,0.036739,11,12,12
12,1600,20,2,1,20077865.585914,0.030295,10,12,12
12,1600,20,2,2,20065754.929600,0.035892,9,12,12
12,1600,20,3,0,20180970.660817,0.025945,11,12,12
12,1600,20,3,1,20135696.870270,0.032132,10,12,12
12,1600,20,3,2,20090423.079723,0.040867,9,12,12
12,1600,20,4,0,19947321.084415,0.061428,11,12,12
12,1600,20,4,1,19928016.374362,0.055174,10,12,12
12,1600,20,4,2,19947321.084415,0.046870,9,12,12
12,1600,20,5,0,20017527.424375,0.077820,11,12,12
12,1600,20,5,1,20008019.001146,0.074026,10,12,12
12,1600,20,5,2,20017527.424375,0.057245,9,12,12
12,1600,20,6,0,20218751.589764,0.053273,11,12,12
12,1600,20,6,1,20172595.012228,0.041753,10,12,12
12,1600,20,6,2,20218751.589764,0.036081,9,12,12
12,1600,20,7,0,20117473.410556,0.031912,11,12,12
12,1600,20,7,1,20065685.975604,0.031327,10,12,12
12,1600,20,7,2,20117473.410556,0.028583,9,12,12
20,1600,20,1,0,20025233.083555,0.027229,19,20,20
20,1600,20,1,1,20019323.936227,0.022507,18,20,20
20,1600,20,1,2,20025233.083555,0.023603,17,20,20
20,1600,20,2,0,20115477.742596,0.028338,19,20,20
20,1600,20,2,1,20115274.127332,0.029084,18,20,20
20,1600,20,2,2,20115477.742596,0.022326,17,20,20
20,1600,20,3,0,19994244.812785,0.033226,19,20,20
20,1600,20,3,1,19977695.646483,0.027914,18,20,20
20,1600,20,3,2,19994244.812785,0.030616,17,20,20
20,1600,20,4,0,19974308.407664,0.022605,19,20,20
20,1600,20,4,1,19971598.728667,0.016333,18,20,20
20,1600,20,4,2,19974308.407664,0.018809,17,20,20
20,1600,20,5,0,19989578.701925,0.014958,19,20,20
20,1600,20,5,1,19973458.138699,0.014955,18,20,20
20,1600,20,5,2,19989578.701925,0.015495,17,20,20
20,1600,20,6,0,20108475.673925,0.021877,19,20,20
20,1600,20,6,1,20070811.152715,0.024676,18,20,20
20,1600,20,6,2,20108475.673925,0.019760,17,20,20
20,1600,20,7,0,20024789.141147,0.011354,19,20,20
20,1600,20,7,1,20020109.858326,0.011890,18,20,20
20,1600,20,7,2,20024789.141147,0.010840,17,20,20
5,1600,50,1,0,53326572.058002,0.393452,4,5,5
5,1600,50,1,1,49412185.952139,0.257564,3,5,5
5,1600,50,1,2,53326572.058002,0.220212,2,5,5
5,1600,50,2,0,50498297.372302,0.277623,4,5,5
5,1600,50,2,1,50246529.621482,0.065365,3,5,5
5,1600,50,2,2,49107894.549809,0.100320,2,5,5
5,1600,50,3,0,51213449.071800,0.297280,4,5,5
5,1600,50,3,1,47384685.818931,0.189480,3,5,5
5,1600,50,3,2,50552988.258384,0.266407,2,5,5
5,1600,50,4,0,51611911.884487,0.203997,4,5,5
5,1600,50,4,1,51199340.427176,0.045961,3,5,5
5,1600,50,4,2,50847895.431491,0.069418,2,5,5
5,1600,50,5,0,50271441.227970,0.316976,4,5,5
5,1600,50,5,1,49735206.078747,0.088479,3,5,5
5,1600,50,5,2,48071171.382009,0.103848,2,5,5
5,1600,50,6,0,55372144.751970,0.214764,4,5,5
5,1600,50,6,1,56020387.451794,0.275325,3,5,5
5,1600,50,6,2,50676185.157714,0.316374,2,5,5
5,1600,50,7,0,52582377.118461,0.192355,4,5,5
5,1600,50,7,1,51137153.179860,0.116382,3,5,5
5,1600,50,7,2,49606665.929560,0.092557,2,5,5
8,1600,50,1,0,50106910.880704,0.119304,7,8,8
8,1600,50,1,1,49843750.897959,0.059132,6,8,8
8,1600,50,1,2,49580590.915215,0.027234,5,8,8
8,1600,50,2,0,50653561.451090,0.027568,7,8,8
8,1600,50,2,1,50568630.981622,0.020377,6,8,8
8,1600,50,2,2,50653561.451090,0.016626,5,8,8
8,1600,50,3,0,51400902.205852,0.034754,7,8,8
8,1600,50,3,1,50826130.072814,0.038494,6,8,8
8,1600,50,3,2,50251357.939775,0.047055,5,8,8
8,1600,50,4,0,50887822.466236,0.045520,7,8,8
8,1600,50,4,1,50656426.140880,0.049742,6,8,8
8,1600,50,4,2,50425029.815524,0.067559,5,8,8
8,1600,50,5,0,50188662.090285,0.146037,7,8,8
8,1600,50,5,1,49000899.095612,0.103082,6,8,8
8,1600,50,5,2,50188662.090285,0.117595,5,8,8
8,1600,50,6,0,50957504.641359,0.262114,7,8,8
8,1600,50,6,1,49886131.524295,0.200284,6,8,8
8,1600,50,6,2,48814758.407232,0.226248,5,8,8
8,1600,50,7,0,50550222.072986,0.081775,7,8,8
8,1600,50,7,1,50297650.461599,0.080163,6,8,8
8,1600,50,7,2,50550222.072986,0.065978,5,8,8
12,1600,50,1,0,50252628.704083,0.042684,11,12,12
12,1600,50,1,1,50201266.655121,0.027624,10,12,12
12,1600,50,1,2,50149904.606160,0.032214,9,12,12
12,1600,50,2,0,50888343.721671,0.061794,11,12,12
12,1600,50,2,1,50183236.477201,0.058684,10,12,12
12,1600,50,2,2,49478129.232730,0.052743,9,12,12
12,1600,50,3,0,50534282.037850,0.135162,11,12,12
12,1600,50,3,1,50358176.832237,0.117913,10,12,12
12,1600,50,3,2,50182071.626624,0.142402,9,12,12
12,1600,50,4,0,50279838.472983,0.045206,11,12,12
12,1600,50,4,1,50244648.607711,0.036516,10,12,12
12,1600,50,4,2,50209458.742439,0.032968,9,12,12
12,1600,50,5,0,50607895.768923,0.031988,11,12,12
12,1600,50,5,1,50501373.364902,0.028264,10,12,12
12,1600,50,5,2,50394850.960880,0.026396,9,12,12
12,1600,50,6,0,50332816.631713,0.076638,11,12,12
12,1600,50,6,1,50896275.782179,0.068747,10,12,12
12,1600,50,6,2,50332816.631713,0.065449,9,12,12
12,1600,50,7,0,50344292.945415,0.022852,11,12,12
12,1600,50,7,1,50300621.364465,0.025083,10,12,12
12,1600,50,7,2,50256949.783515,0.025369,9,12,12
20,1600,50,1,0,50133457.119647,0.098817,19,20,20
20,1600,50,1,1,50077804.318010,0.089931,18,20,20
20,1600,50,1,2,50133457.119647,0.088447,17,20,20
20,1600,50,2,0,50787419.686259,0.052288,19,20,20
20,1600,50,2,1,50714423.593684,0.051281,18,20,20
20,1600,50,2,2,50787419.686259,0.052686,17,20,20
20,1600,50,3,0,50059702.846088,0.090609,19,20,20
20,1600,50,3,1,49989658.496999,0.077165,18,20,20
20,1600,50,3,2,50059702.846088,0.082951,17,20,20
20,1600,50,4,0,50528628.312509,0.052958,19,20,20
20,1600,50,4,1,50413905.627262,0.052768,18,20,20
20,1600,50,4,2,50528628.312509,0.047332,17,20,20
20,1600,50,5,0,50092259.293990,0.060504,19,20,20
20,1600,50,5,1,50058086.852785,0.050019,18,20,20
20,1600,50,5,2,50023914.411580,0.044403,17,20,20
20,1600,50,6,0,49861495.844875,0.051222,19,20,20
20,1600,50,6,1,49754116.265648,0.039145,18,20,20
