scenario,arm,rep,time_us,cwnd,bytes_in_flight,smoothed_rtt,min_rtt,latest_rtt
step_up,naive,1,2374,15360,1998,,,
step_up,naive,1,63855,16871,1879,61481,61481,61481
step_up,naive,1,65059,18718,2504,61631,,62685
step_up,naive,1,124534,21190,10080,61493,60529,60529
step_up,naive,1,141460,24038,10080,61372,,60531
step_up,naive,1,158330,26886,10080,61260,60480,60480
step_up,naive,1,175335,29734,11520,61167,,60522
step_up,naive,1,251803,32582,27360,60824,,60381
step_up,naive,1,256253,35430,28800,60763,60337,60337
step_up,naive,1,262104,38278,30240,60732,,60520
step_up,naive,1,267837,41126,31680,60685,,60358
step_up,naive,1,274187,43974,34560,60641,,60338
step_up,naive,1,279515,46822,37440,60607,,60374
step_up,naive,1,284922,49670,40320,60566,60284,60284
step_up,naive,1,290565,52518,43200,60536,,60332
step_up,naive,1,296652,55366,47520,60540,,60572
step_up,naive,1,301261,58214,48960,60497,60201,60201
step_up,naive,1,312208,62486,54720,60477,,60342
step_up,naive,1,316465,65334,59040,60441,60191,60191
step_up,naive,1,320893,68182,61920,60417,,60253
step_up,naive,1,328109,71030,66240,60384,,60230
step_up,naive,1,331077,73878,69120,60385,,60394
step_up,naive,1,334526,76726,70560,60369,,60262
step_up,naive,1,337938,79574,73440,60357,,60278
step_up,naive,1,340962,82422,76320,60342,,60243
step_up,naive,1,346370,85270,79200,60343,,60287
step_up,naive,1,348656,88118,80640,60327,,60220
step_up,naive,1,351252,90966,82080,60312,,60210
step_up,naive,1,353969,93814,84960,60304,,60253
step_up,naive,1,356700,96662,87840,60308,,60341
step_up,naive,1,359352,99510,90720,60312,,60345
step_up,naive,1,361586,102358,92160,60306,,60270
step_up,naive,1,363905,105206,95040,60298,,60247
step_up,naive,1,366211,108054,97920,60288,,60223
step_up,naive,1,368543,110902,99360,60281,,60235
step_up,naive,1,372595,113750,108000,60287,,60332
step_up,naive,1,375044,116598,109440,60285,,60272
step_up,naive,1,376773,119446,112320,60278,,60236
step_up,naive,1,379039,122294,116640,60268,,60199
step_up,naive,1,381063,125142,119520,60252,60142,60142
step_up,naive,1,383341,127990,122400,60240,,60163
step_up,naive,1,385563,130838,125280,60237,,60222
step_up,naive,1,387242,133686,128160,60232,,60203
step_up,naive,1,389576,136534,131040,60233,,60244
step_up,naive,1,391069,139382,133920,60222,,60146
step_up,naive,1,392742,142230,136800,60212,,60144
step_up,naive,1,394814,145078,139680,60212,,60219
step_up,naive,1,396391,147926,142560,60207,,60172
step_up,naive,1,398099,150774,145440,60197,60134,60134
step_up,naive,1,400514,153622,148320,60201,,60233
step_up,naive,1,401631,156470,151200,60196,,60161
step_up,naive,1,403823,159318,154080,60204,,60260
