scenario,arm,rep,rate_b_mbit,migration_detected,t0_us,t1_us,cwnd_before,cwnd_min_after,max_bytes_in_flight_2s,packets_lost_2s,packets_lost_total,recovered,recovery_time_us,byte_deficit,trace_end_us,qlog
step_up,naive,1,100.0,1,4979657,4999904,276670,37840,497044,167,266,1,1600000,16531384.0,8885322,../raw/baseline/step_up/naive/rep1/final/qlog_server/3352a0d90b08ccfd.258.server.qlog
step_up,naive,2,100.0,1,4981802,5002082,275400,42260,489532,153,153,1,1400000,12838228.0,8545615,../raw/baseline/step_up/naive/rep2/final/qlog_server/97d324a3d0f1799c.372a.server.qlog
step_up,naive,3,100.0,1,4992510,5012795,275400,45684,525600,101,101,1,1800000,19218124.0,9050765,../raw/baseline/step_up/naive/rep3/final/qlog_server/c1725636da9650b2.fae9.server.qlog
step_up,naive,4,100.0,1,4982840,5003174,277848,26992,539612,154,154,1,1400000,16163668.0,8831500,../raw/baseline/step_up/naive/rep4/final/qlog_server/a0f8f72a51575954.a82d.server.qlog
step_up,naive,5,100.0,1,4979324,4999763,279072,41664,508312,165,165,1,800000,3067100.0,7759990,../raw/baseline/step_up/naive/rep5/final/qlog_server/c231984873e618ef.3f40.server.qlog
step_up,specreset,1,100.0,1,4980829,5001227,281520,51193,540864,178,282,1,600000,3939672.0,7884550,../raw/baseline/step_up/specreset/rep1/final/qlog_server/4d9f7787f332cbf6.ec0c.server.qlog
step_up,specreset,2,100.0,1,5036359,5061989,279272,12928,518400,140,141,1,1600000,4322596.0,7928310,../raw/baseline/step_up/specreset/rep2/final/qlog_server/73d9b9e9b5192c3e.b598.server.qlog
step_up,specreset,3,100.0,1,4973643,4994052,318382,27232,519840,184,184,1,200000,1667128.0,7657669,../raw/baseline/step_up/specreset/rep3/final/qlog_server/7ed3c28b7afec0a7.f1d0.server.qlog
step_up,specreset,4,100.0,1,4978564,4998762,279072,41698,537108,277,277,1,2000000,7344656.0,8067039,../raw/baseline/step_up/specreset/rep4/final/qlog_server/618e6be060331be7.2831.server.qlog
step_up,specreset,5,100.0,1,4977599,4998058,261982,41082,515520,205,205,1,400000,4225100.0,8624355,../raw/baseline/step_up/specreset/rep5/final/qlog_server/e4f8d5f2b9347360.7f45.server.qlog
step_down,naive,1,20.0,1,4973611,5034057,471286,246352,,0,109,1,3200000,7580060.0,28588606,../raw/baseline/step_down/naive/rep1/final/qlog_server/95b46609c8f11dea.c0a.server.qlog
step_down,naive,2,20.0,1,4976736,5036984,492048,242752,244732,0,95,1,3000000,7343108.0,28967425,../raw/baseline/step_down/naive/rep2/final/qlog_server/bd90223ff18fa456.4910.server.qlog
step_down,naive,3,20.0,1,4979284,5039386,466390,240656,,0,96,1,3200000,7588704.0,28585560,../raw/baseline/step_down/naive/rep3/final/qlog_server/483da2b333d21da4.dfc9.server.qlog
step_down,naive,4,20.0,1,4982163,5042320,466390,286032,,0,95,1,3000000,7374972.0,28399477,../raw/baseline/step_down/naive/rep4/final/qlog_server/37861c4f4641fcf1.fa1a.server.qlog
step_down,naive,5,20.0,1,4980020,5040203,459000,300288,,0,95,1,3200000,7538432.0,28390771,../raw/baseline/step_down/naive/rep5/final/qlog_server/3e1529e2d9d0a9e9.3c78.server.qlog
step_down,specreset,1,20.0,1,4979343,5039542,466344,15360,214560,0,20,0,,77813304.0,36266721,../raw/baseline/step_down/specreset/rep1/final/qlog_server/50dbf9ab00b95a04.47a2.server.qlog
step_down,specreset,2,20.0,1,4981319,5041579,470062,15360,178560,0,33,0,,77826264.0,36256667,../raw/baseline/step_down/specreset/rep2/final/qlog_server/0204086c96fdad84.1ab9.server.qlog
step_down,specreset,3,20.0,1,4985067,5045220,459000,15360,138240,0,42,0,,77849304.0,36380665,../raw/baseline/step_down/specreset/rep3/final/qlog_server/983d076bb5a8e114.3ce4.server.qlog
step_down,specreset,4,20.0,1,4981294,5041518,457776,15360,177120,0,31,0,,77836344.0,36268487,../raw/baseline/step_down/specreset/rep4/final/qlog_server/5e54da03950174e8.f3.server.qlog
step_down,specreset,5,20.0,1,4981248,5041402,471286,15360,192960,0,28,0,,77836344.0,36276488,../raw/baseline/step_down/specreset/rep5/final/qlog_server/46d3b38354b78680.5bd5.server.qlog
