time_us,cwnd,bytes_in_flight,smoothed_rtt,min_rtt,latest_rtt
1444,15360,1998,,,
22743,16871,1879,21299,21299,21299
23964,18718,2504,21451,,22520
43393,21190,2880,21327,20460,20460
55927,22614,11520,21860,,25592
63393,24038,14400,22334,,25656
63661,26886,11520,22070,20223,20223
68538,29734,12960,21846,,20280
87235,32582,21600,21204,,20337
90070,35430,24480,21085,,20255
100871,38278,33120,20730,,20220
103156,41126,36000,20666,,20219
105481,43974,38880,20612,,20238
107459,46822,41760,20558,20187,20187
109053,49670,44640,20512,,20195
110505,52518,47520,20473,,20207
112075,55366,50400,20436,20184,20184
113656,58214,53280,20403,20172,20172
115129,61062,54720,20369,20136,20136
116591,63910,59040,20342,,20153
118016,66758,61920,20320,,20170
119306,69606,64800,20300,,20163
121136,73878,66240,20282,,20162
122268,76726,70560,20259,20104,20104
123573,79574,74880,20249,,20185
124689,82422,77760,20261,,20348
125819,85270,80640,20264,,20288
126918,88118,83520,20275,,20353
128103,90966,86400,20311,,20565
130593,93814,89280,20516,,21246
134064,96662,92160,20957,,22145
137696,99510,95040,21622,,23316
142442,102358,97920,22809,,25192
161449,101572,100800,30491,,34650
167396,108722,90720,31918,,37737
177386,110146,80640,33651,,39612
188677,111570,66240,35610,,42486
206730,86904,44640,37323,,37776
349316,101144,46080,20889,,20136
355424,102240,46080,20801,,20191
466995,86904,47520,23208,,22039
477573,99720,46080,22586,,20137
482944,102240,47520,22284,,20171
601550,86904,48960,23960,,22546
718885,99720,51840,21327,,21301
724244,102240,51840,21329,,21344
841633,86904,46080,23540,,21411
967134,101144,46080,20356,,20259
973484,102240,48960,20326,,20118
1275389,86904,47520,23631,,22261
1469228,99720,46080,20171,,20101
1475524,102240,48960,20163,,20114
1579002,86904,48960,23293,,22593
3742868,99720,74880,31266,,31682
3748066,102240,76320,31297,,31517
3956740,86904,48960,26847,,22465
5013676,60336,47520,20174,,20140
5024665,56960,48584,20185,,20274
5110594,2848,0,24921,,40462
5156222,5008,2504,26846,,40326
5165533,6244,2504,28530,,40325
5190915,7480,2504,30012,,40393
5210913,8716,2504,31306,,40367
5231292,9952,2504,32448,,40449
5251614,11188,2504,33438,,40374
5266640,12424,2504,34309,,40406
5282089,13660,2504,35072,,40413
5303387,14896,2504,35735,,40381
5322476,16132,2504,36329,,40487
5339823,17368,2504,36839,,40414
5357265,18602,2504,37291,,40459
5620487,5786,2504,40010,,40435
5673216,5008,2504,40149,,40373
7521830,6244,2504,40438,,40496
7539252,7480,2504,40440,,40455
7556535,5008,3756,40438,,40427
7616245,6244,2504,40425,,40374
7631796,7480,3756,40418,,
7647523,5008,3756,40410,,40361
7974723,6244,3756,40454,,40419
7988815,7480,3756,40441,,40355
8003037,5008,3756,40446,,40483
8039790,5150,3756,40444,,40466
8055654,6386,3756,40431,,40345
8069740,7622,6260,40425,,40385
8106777,7912,6260,40410,,40456
8115248,9342,5008,40391,,40264
8128986,10578,6260,40379,,40299
8174376,15522,6260,40387,,40298
8187705,14756,13772,40409,,40564
8198075,14766,13772,40409,,40409
8219912,14808,8764,40414,,40489
8226522,16432,5008,40445,,40669
8253478,16628,10016,40461,,40468
8333972,19100,11268,40433,,40376
8342726,20592,12520,40427,,40388
8360183,16628,13772,40432,,40477
8392146,17070,11268,40462,,40433
8399276,17570,11268,40469,,40520
8405842,17874,10016,40471,,40488
8628125,20346,12520,40327,,40290
8636157,21994,13772,40334,,40386
8651727,17874,15024,40321,,40237
8680839,18330,12520,40309,,40245
8687054,18892,12520,40311,,40327
8694040,18946,11268,40323,,40408
8701318,19280,11268,40319,,40294
8743766,18044,12520,40315,,40284
8791155,16808,12520,40357,,40360
8909113,19280,13772,40306,,40309
8916641,21104,15024,40301,,40266
8930836,16808,16276,40299,,40327
8957514,16888,15024,40291,,40290
8963181,17458,13772,40298,,40349
8968791,19930,13772,40300,,40320
8983560,18132,17528,40341,,40585
9014940,22232,10016,40462,,40719
9020602,23674,7512,40514,,40884
9309339,27382,16276,40313,,40290
9317388,28364,18780,40311,,40301
