arm,rep,time_us,cwnd,bytes_in_flight,smoothed_rtt,min_rtt,latest_rtt
quicgo,2,3745.444,40960,1280,,,
quicgo,2,3752.7180000000003,,2560,,,
quicgo,2,3764.582,,2625,,,
quicgo,2,3765.4429999999998,,2720,,,
quicgo,2,25641.782,,1440,21756,21756,21756
quicgo,2,25663.294,,95,21752,21730,21730
quicgo,2,26025.863999999998,,,21749,,
quicgo,2,26161.6,,301,,,
quicgo,2,26571.903,,1581,,,
quicgo,2,26583.877,,2861,,,
quicgo,2,26599.016,,4141,,,
quicgo,2,26609.627,,5421,,,
quicgo,2,26614.457000000002,,6701,,,
quicgo,2,26658.632999999998,,7981,,,
quicgo,2,26670.916999999998,,9261,,,
quicgo,2,26680.436,,10541,,,
quicgo,2,26684.995,,11821,,,
quicgo,2,26705.284,,13101,,,
quicgo,2,28206.725,,14381,,,
quicgo,2,28220.191,,15661,,,
quicgo,2,29677.86,,16941,,,
quicgo,2,29699.081,,18221,,,
quicgo,2,29709.220999999998,,19501,,,
quicgo,2,31055.717999999997,,20781,,,
quicgo,2,31068.713,,22061,,,
quicgo,2,31087.52,,23341,,,
quicgo,2,32368.154,,24621,,,
quicgo,2,32374.947,,25901,,,
quicgo,2,33779.758,,27181,,,
quicgo,2,33793.335,,28461,,,
quicgo,2,33815.719000000005,,29741,,,
quicgo,2,35223.109000000004,,31021,,,
quicgo,2,35248.088,,32301,,,
quicgo,2,36513.131,,33581,,,
quicgo,2,36518.852,,33822,,,
quicgo,2,36581.88,,35102,,,
quicgo,2,36585.617,,36382,,,
quicgo,2,37944.434,,37662,,,
quicgo,2,37949.022999999994,,38942,,,
quicgo,2,39231.383,,40222,,,
quicgo,2,39238.65700000001,,41502,,,
quicgo,2,47502.971000000005,44800,38641,21642,20896,20896
quicgo,2,47558.67,,39921,,,
quicgo,2,47564.822,,41201,,,
quicgo,2,47575.663,,42481,,,
quicgo,2,47586.334,,43761,,,
quicgo,2,47591.284,,45041,,,
quicgo,2,48304.915,47360,42481,21624,,21503
quicgo,2,48328.862,,43761,,,
quicgo,2,48335.154,,45041,,,
quicgo,2,48359.642,,46321,,,
quicgo,2,48372.748,,47601,,,
quicgo,2,49243.148,49920,45041,21748,,22624
quicgo,2,49268.037,,46321,,,
quicgo,2,49274.049,,47601,,,
quicgo,2,49280.310999999994,,48881,,,
quicgo,2,49305.37,,50161,,,
quicgo,2,50283.189,52480,47601,21988,,23671
quicgo,2,50307.958,,48881,,,
quicgo,2,50313.919,,50161,,,
quicgo,2,50402.493,,51441,,,
quicgo,2,51330.90700000001,55040,48881,22328,,24716
quicgo,2,51352.92,,50161,,,
quicgo,2,51357.679,,51441,,,
quicgo,2,52477.030999999995,57600,48881,22572,,24280
quicgo,2,52492.601,,50161,,,
quicgo,2,52496.579,,51441,,,
quicgo,2,52500.797,,51712,,,
quicgo,2,52607.045,,52992,,,
quicgo,2,53460.636999999995,60160,50432,22735,,23879
quicgo,2,53483.161,,51712,,,
quicgo,2,53488.532,,52992,,,
quicgo,2,54642.957,62720,50432,22832,,23515
quicgo,2,54679.739,,51712,,,
quicgo,2,54685.831,,52992,,,
quicgo,2,54710.619999999995,,54272,,,
quicgo,2,54727.282,,55552,,,
quicgo,2,55636.638,65280,52992,23038,,24482
quicgo,2,55659.844,,54272,,,
quicgo,2,55665.315,,55552,,,
quicgo,2,56665.974,67840,52992,23186,,24223
quicgo,2,56716.253000000004,,54272,,,
quicgo,2,56722.886000000006,,55552,,,
quicgo,2,56730.019,,56832,,,
quicgo,2,57682.185,70400,54272,23272,,23877
quicgo,2,57698.948000000004,,55552,,,
quicgo,2,57702.745,,56832,,,
quicgo,2,57707.194,,58112,,,
quicgo,2,58966.729999999996,,59392,,,
quicgo,2,58976.519,,60672,,,
quicgo,2,59002.299,,61952,,,
quicgo,2,59011.126,,63232,,,
quicgo,2,59105.411,74240,59392,23346,,23870
quicgo,2,59947.811,76800,57871,23342,,23321
quicgo,2,59964.654,,59151,,,
quicgo,2,59970.144,,60431,,,
quicgo,2,59979.232,,61711,,,
quicgo,2,61028.827999999994,79360,59151,23464,,24324
quicgo,2,61103.172999999995,,60431,,,
quicgo,2,61110.317,,61711,,,
quicgo,2,61114.986000000004,,62991,,,
quicgo,2,61122.451,,64271,,,
quicgo,2,62041.992,81920,61711,23538,,24056
quicgo,2,62092.851,,61982,,,
quicgo,2,62103.582,,63262,,,
quicgo,2,62108.472,,64542,,,
quicgo,2,62132.218,,65822,,,
quicgo,2,63083.341,84480,63262,23567,,23778
quicgo,2,63150.441999999995,,64542,,,
quicgo,2,63155.923,,65822,,,
quicgo,2,63211.621999999996,,67102,,,
quicgo,2,63219.718,,68382,,,
quicgo,2,64566.536,,69662,,,
quicgo,2,64578.26900000001,,70942,,,
quicgo,2,64584.25,,72222,,,
quicgo,2,64603.87900000001,,73502,,,
quicgo,2,64608.087,,74782,,,
quicgo,2,66017.035,,76062,,,
quicgo,2,66029.549,,77342,,,
quicgo,2,66050.5,,78622,,,
quicgo,2,66055.771,,79902,,,
quicgo,2,66067.484,,81182,,,
quicgo,2,67505.91500000001,,82462,,,
quicgo,2,67516.987,,83742,,,
quicgo,2,67523.11899999999,,85022,,,
quicgo,2,68309.845,87040,82462,23212,20729,20729
quicgo,2,68362.38799999999,,83742,,,
quicgo,2,68367.51800000001,,85022,,,
quicgo,2,68393.148,,86302,,,
quicgo,2,68397.567,,87582,,,
quicgo,2,69036.247,89600,85022,22980,,21358
quicgo,2,69059.814,,86302,,,
quicgo,2,69067.15800000001,,87582,,,
quicgo,2,69074.372,,87853,,,
quicgo,2,69435.179,,89133,,,
quicgo,2,69449.31599999999,,90413,,,
quicgo,2,70063.388,92160,87853,22804,,21579
quicgo,2,70085.532,,89133,,,
quicgo,2,70089.971,,90413,,,
quicgo,2,70111.132,,91693,,,
quicgo,2,70115.561,,92973,,,
quicgo,2,71097.734,94720,90413,22785,,22656
quicgo,2,71120.408,,91693,,,
quicgo,2,71126.661,,92973,,,
quicgo,2,71145.958,,94253,,,
quicgo,2,71149.856,,95533,,,
quicgo,2,72124.57,97280,92973,22783,,22774
quicgo,2,72139.449,,94253,,,
quicgo,2,72142.946,,95533,,,
quicgo,2,72146.693,,96813,,,
quicgo,2,72149.469,,98093,,,
quicgo,2,73122.489,99840,95533,22907,,23775
quicgo,2,73134.823,,96813,,,
quicgo,2,73137.66900000001,,98093,,,
quicgo,2,73153.99100000001,,99373,,,
quicgo,2,73156.42599999999,,100653,,,
quicgo,2,74240.629,102400,98093,23021,,23822
quicgo,2,74261.43999999999,,99373,,,
quicgo,2,74265.818,,100653,,,
quicgo,2,74270.738,,101933,,,
quicgo,2,74290.196,,103213,,,
quicgo,2,75409.178,104960,100653,23269,,25009
